AAV11C1503A
AAV27C1710A
ADVA42C1608A
AOT01P1804A
AOT08C1710A
AOT13C1805A
AOT28P1802A
BANP18C1705A
BBL11C1805A
BBL24C1707A
BCH01C1708A
BCH01C1802A
BCP42P1609A
BCPG23C1806A
BDMS01P1509A
BDMS01P1601A
BEAU13C1802A
BEAU13C1804A
BGH01C1504A
BGH01P1504A
BGH08C1506A
BGH11C1506A
BGH13C1506A
BGH16C1507A
BGH23C1605A
BGH28C1503A
BGH42C1506A
BGH42P1502A
BJC13C1805A
BLA13C1804A
BLAN01C1504A
BLAN27C1706A
CBG01C1612A
CBG06C1608A
CBG08C1705A
CENT01P1712A
CK13C1501A
CPAL01P1602A
CPAL11C1702A
CPAL42C1508A
CPF28C1509A
CPN28C1507A
DTAC01P1409A
EGCO13C1804A
ERW13C1709A
GLOB11C1711A
GPSC08C1610A
GUNK01C1612A
GUNK01C1709A
GUNK11C1511A
GUNK24C1807A
INTU11P1604A
INTU28C1802A
IRPC01C1612A
IRPC13C1806A
IVL13C1705A
IVL28C1410A
JAS13C1404A
KBAN01P1804A
KBAN06C1601A
KKP01C1501A
KTB01C1602A
KTB07C1802A
KTB13C1406A
KTB23P1803A
KTB28C1704A
LH01C1412A
LH23C1707A
LHBA42C1806A
LPN11C1605A
LPN24C1808A
MAJO11C1607A
MAJO23C1704A
MEGA23C1806A
MTLS06C1806A
MTLS07C1806A
MTLS11C1806A
MTLS13C1805A
MTLS23C1808A
MTLS27C1807A
MTLS28C1806A
MTLS42C1806A
PSH42C1709A
PTG01C1701A
PTG01P1701A
PTT01C1606A
PTT01C1609A
PTT01P1501A
PTT01P1501A
PTT01P1609A
PTT13P1605A
PTT23C1510A
PTT28C1709A
PTTE08P1702A
PTTE13P1504A
PTTE28C1505A
PTTG01P1601A
PTTG42C1507A
SAMA11C1603A
SAMA28C1609A
SC13C1512A
SCB08C1506A
SCB42P1707A
SCC08P1604A
SCC13P1705A
SCC24C1806A
SET06P1506B
SET06P1506C
SET06P1512A
SPCG01P1412A
SPCG08C1504A
STEC06C1505A
STEC08C1609A
STEC13C1505A
STEC13C1801A
STEC23C1502A
STEC23C1510A
STEC23C1701A
THCO01P1611A
THCO24C1706A
THCO27C1801A
TKN42C1709A
TOP11C1711A
TOP28C1704A
TRUE01C1603A
TTA01P1511A
TTA13C1602A
TUF01C1409A
TUF06C1511A
TUF11C1601A
TUF16C1601A
TUF18C1507A
TUF27C1510A
VGI28C1406A
VGI28C1511A
WHA13C1710A
